2019-02-08 12:36:38: -- 分析开始 On File Change, After Delay
2019-02-08 12:36:52: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15491201239297.html' -> 'ftp://67.218.138.18/15491201239297.html' (7,510)
2019-02-08 12:36:53: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15491517438738.html' -> 'ftp://67.218.138.18/15491517438738.html' (8,872)
2019-02-08 12:36:53: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15491631190028.html' -> 'ftp://67.218.138.18/15491631190028.html' (8,432)
2019-02-08 12:36:54: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15491641978010.html' -> 'ftp://67.218.138.18/15491641978010.html' (23,359)
2019-02-08 12:36:55: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15491652924233.html' -> 'ftp://67.218.138.18/15491652924233.html' (12,542)
2019-02-08 12:36:56: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15491676278231.html' -> 'ftp://67.218.138.18/15491676278231.html' (16,200)
2019-02-08 12:36:57: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15491994910577.html' -> 'ftp://67.218.138.18/15491994910577.html' (8,176)
2019-02-08 12:36:57: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15492077339860.html' -> 'ftp://67.218.138.18/15492077339860.html' (7,515)
2019-02-08 12:36:58: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15492572516091.html' -> 'ftp://67.218.138.18/15492572516091.html' (7,282)
2019-02-08 12:36:59: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15493202049462.html' -> 'ftp://67.218.138.18/15493202049462.html' (12,749)
2019-02-08 12:37:00: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15493202836603.html' -> 'ftp://67.218.138.18/15493202836603.html' (7,646)
2019-02-08 12:37:01: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15493203914367.html' -> 'ftp://67.218.138.18/15493203914367.html' (8,370)
2019-02-08 12:37:01: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15493209866703.html' -> 'ftp://67.218.138.18/15493209866703.html' (7,799)
2019-02-08 12:37:02: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15493211846680.html' -> 'ftp://67.218.138.18/15493211846680.html' (15,864)
2019-02-08 12:37:03: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15493212690604.html' -> 'ftp://67.218.138.18/15493212690604.html' (8,847)
2019-02-08 12:37:04: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15493212740845.html' -> 'ftp://67.218.138.18/15493212740845.html' (7,383)
2019-02-08 12:37:04: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15493214273326.html' -> 'ftp://67.218.138.18/15493214273326.html' (7,566)
2019-02-08 12:37:05: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15493216164928.html' -> 'ftp://67.218.138.18/15493216164928.html' (10,689)
2019-02-08 12:37:06: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15493220267804.html' -> 'ftp://67.218.138.18/15493220267804.html' (8,238)
2019-02-08 12:37:07: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15493249114828.html' -> 'ftp://67.218.138.18/15493249114828.html' (9,026)
2019-02-08 12:37:07: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15493434506992.html' -> 'ftp://67.218.138.18/15493434506992.html' (7,851)
2019-02-08 12:37:08: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15493451781498.html' -> 'ftp://67.218.138.18/15493451781498.html' (8,049)
2019-02-08 12:37:09: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15493452697546.html' -> 'ftp://67.218.138.18/15493452697546.html' (8,327)
2019-02-08 12:37:10: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15493454301946.html' -> 'ftp://67.218.138.18/15493454301946.html' (7,570)
2019-02-08 12:37:10: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15493456064912.html' -> 'ftp://67.218.138.18/15493456064912.html' (7,933)
2019-02-08 12:37:11: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15493978106906.html' -> 'ftp://67.218.138.18/15493978106906.html' (19,934)
2019-02-08 12:37:12: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15494255484566.html' -> 'ftp://67.218.138.18/15494255484566.html' (7,398)
2019-02-08 12:37:13: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15494256473221.html' -> 'ftp://67.218.138.18/15494256473221.html' (7,798)
2019-02-08 12:37:13: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/15495521851679.html' -> 'ftp://67.218.138.18/15495521851679.html' (10,097)
2019-02-08 12:37:14: 新建复制 '/Users/caoqian/Documents/WebSite/Category/15496367642074.html' -> 'ftp://67.218.138.18/15496367642074.html' (7,731)
2019-02-08 12:37:15: 新建复制 '/Users/caoqian/Documents/WebSite/Category/15496492722522.html' -> 'ftp://67.218.138.18/15496492722522.html' (7,391)
2019-02-08 12:37:15: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/all.html' -> 'ftp://67.218.138.18/all.html' (10,223)
2019-02-08 12:37:16: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/all_1.html' -> 'ftp://67.218.138.18/all_1.html' (11,805)
2019-02-08 12:37:17: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/all_2.html' -> 'ftp://67.218.138.18/all_2.html' (15,214)
2019-02-08 12:37:18: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/all_3.html' -> 'ftp://67.218.138.18/all_3.html' (18,962)
2019-02-08 12:37:19: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/all_4.html' -> 'ftp://67.218.138.18/all_4.html' (10,346)
2019-02-08 12:37:19: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/all_5.html' -> 'ftp://67.218.138.18/all_5.html' (9,816)
2019-02-08 12:37:20: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/all_6.html' -> 'ftp://67.218.138.18/all_6.html' (10,209)
2019-02-08 12:37:21: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/all_7.html' -> 'ftp://67.218.138.18/all_7.html' (9,489)
2019-02-08 12:37:22: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/all_8.html' -> 'ftp://67.218.138.18/all_8.html' (10,407)
2019-02-08 12:37:22: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/all_9.html' -> 'ftp://67.218.138.18/all_9.html' (7,749)
2019-02-08 12:37:23: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/archives.html' -> 'ftp://67.218.138.18/archives.html' (27,123)
2019-02-08 12:37:24: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/atom.xml' -> 'ftp://67.218.138.18/atom.xml' (52,795)
2019-02-08 12:37:25: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/Basic_Photography.html' -> 'ftp://67.218.138.18/Basic_Photography.html' (9,451)
2019-02-08 12:37:26: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/chenxianziti.html' -> 'ftp://67.218.138.18/chenxianziti.html' (7,798)
2019-02-08 12:37:27: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/Design.html' -> 'ftp://67.218.138.18/Design.html' (6,509)
2019-02-08 12:37:27: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/Ebooks.html' -> 'ftp://67.218.138.18/Ebooks.html' (8,100)
2019-02-08 12:37:28: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/feixugouxiezuo.html' -> 'ftp://67.218.138.18/feixugouxiezuo.html' (9,337)
2019-02-08 12:37:29: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/index.html' -> 'ftp://67.218.138.18/index.html' (10,223)
2019-02-08 12:37:30: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/Link.html' -> 'ftp://67.218.138.18/Link.html' (11,763)
2019-02-08 12:37:30: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/Link_1.html' -> 'ftp://67.218.138.18/Link_1.html' (14,891)
2019-02-08 12:37:31: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/Link_2.html' -> 'ftp://67.218.138.18/Link_2.html' (17,351)
2019-02-08 12:37:32: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/links.html' -> 'ftp://67.218.138.18/links.html' (4,884)
2019-02-08 12:37:33: 新建复制 '/Users/caoqian/Documents/WebSite/Category/media/15496367642074/2019-02-08 08.40.11.jpg' -> 'ftp://67.218.138.18/media/15496367642074/2019-02-08 08.40.11.jpg' (162,478)
2019-02-08 12:37:34: 新建复制 '/Users/caoqian/Documents/WebSite/Category/media/15496492722522/15496493614642.jpg' -> 'ftp://67.218.138.18/media/15496492722522/15496493614642.jpg' (714,976)
2019-02-08 12:37:36: 新建复制 '/Users/caoqian/Documents/WebSite/Category/media/15496492722522/15496495346381.jpg' -> 'ftp://67.218.138.18/media/15496492722522/15496495346381.jpg' (5,825,174)
2019-02-08 12:37:37: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/PowerPoint.html' -> 'ftp://67.218.138.18/PowerPoint.html' (6,657)
2019-02-08 12:37:37: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/Resources.html' -> 'ftp://67.218.138.18/Resources.html' (11,503)
2019-02-08 12:37:38: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/Resources_1.html' -> 'ftp://67.218.138.18/Resources_1.html' (9,330)
2019-02-08 12:37:39: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/Resources_2.html' -> 'ftp://67.218.138.18/Resources_2.html' (9,979)
2019-02-08 12:37:40: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/sitemap.xml' -> 'ftp://67.218.138.18/sitemap.xml' (7,337)
2019-02-08 12:37:40: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/Story.html' -> 'ftp://67.218.138.18/Story.html' (8,250)
2019-02-08 12:37:41: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/thoughts.html' -> 'ftp://67.218.138.18/thoughts.html' (9,214)
2019-02-08 12:37:42: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/thoughts_1.html' -> 'ftp://67.218.138.18/thoughts_1.html' (9,787)
2019-02-08 12:37:43: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/Writing.html' -> 'ftp://67.218.138.18/Writing.html' (9,232)
2019-02-08 12:37:43: 覆盖复制 '/Users/caoqian/Documents/WebSite/Category/网站相关 | Websites.html' -> 'ftp://67.218.138.18/网站相关 _ Websites.html' (7,578)
2019-02-08 12:37:46: == 同步完成. 历时: 00:01:07, 速度: 116.3 KB/s, 完成: 83, 错误: 0
2019-02-08 12:37:46: 
